http://names.mongabay.com/data/13000.html
Name    Rank    Number of occurrences     Occurrences per 100,000 people     Cumulative proportion per 100,000 people     Percent Non-Hispanic White Only     Percent Non-Hispanic Black Only     Percent Non-Hispanic Asian and Pacific Islander Only     Percent Non-Hispanic American Indian and Alaskan Native Only     Percent Non-Hispanic of Two or More Races     Percent Hispanic Origin
JAMISON     1211     26476     9.81     42842.7     59.17     36.45     0.36     0.82     1.66     1.55
NAVA     1212     26463     9.81     42852.51     5.34     0.18     1.07     0.21     0.46     92.73
GUSTAFSON     1213     26433     9.8     42862.31     96.92     0.21     0.52     0.4     1.03     0.92
SYKES     1214     26425     9.8     42872.1     56.45     39.91     0.34     0.31     1.73     1.26
DEMPSEY     1215     26403     9.79     42881.89     90.62     5.4     0.44     0.79     1.24     1.51
HAMM     1216     26392     9.78     42891.67     87.17     8.95     0.53     0.56     1.23     1.56
RODRIQUEZ     1217     26377     9.78     42901.45     7.07     1.74     0.29     0.59     0.64     89.68
MCGILL     1218     26354     9.77     42911.22     70.14     25.49     0.4     0.59     1.71     1.67
XIONG     1219     26336     9.76     42920.98     0.3     (S)     94.7     (S)     4.66     0.29
ESQUIVEL     1220     26301     9.75     42930.73     4.89     0.23     0.73     0.31     0.34     93.51
SIMMS     1221     26296     9.75     42940.48     53.96     41.33     0.46     0.59     2.1     1.57
KENDRICK     1222     26266     9.74     42950.22     66.76     29.17     0.33     0.51     1.84     1.4
BOYCE     1223     26229     9.72     42959.94     76.95     18.65     0.56     0.42     1.91     1.51
VIGIL     1224     26224     9.72     42969.66     13.38     0.24     0.35     2.96     1.04     82.04
DOWNEY     1225     26206     9.71     42979.38     89.47     6.11     0.52     0.86     1.35     1.69
MCKENNA     1226     26189     9.71     42989.08     95.53     0.76     0.43     0.27     0.86     2.15
SIERRA     1227     26181     9.71     42998.79     8.55     0.85     0.52     0.53     0.54     89.01
WEBBER     1228     26178     9.7     43008.49     84.83     10.65     0.58     0.61     1.33     1.99
KIRKPATRICK     1229     26155     9.7     43018.19     91.09     5.37     0.47     0.47     1.15     1.45
DICKINSON     1230     26144     9.69     43027.88     91.53     4.53     0.57     0.32     1.34     1.71
COUCH     1231     26135     9.69     43037.57     89.41     6.55     0.31     0.69     1.44     1.6
BURKS     1232     26115     9.68     43047.25     54.49     41.37     0.24     0.45     1.77     1.69
SHEEHAN     1233     26107     9.68     43056.93     96.66     0.2     0.57     0.23     1.01     1.33
SLAUGHTER     1234     26088     9.67     43066.6     59.51     36.54     0.3     0.4     1.89     1.36
PIKE     1235     26086     9.67     43076.27     93.76     1.64     0.44     1.33     1.34     1.49
WHITLEY     1236     26078     9.67     43085.93     74.59     21.96     0.3     0.51     1.31     1.33
MAGEE     1237     26031     9.65     43095.58     67.12     29.33     0.37     0.54     1.36     1.29
CHENG     1238     26023     9.65     43105.23     1.46     0.21     95.08     0.03     2.43     0.79
SINCLAIR     1239     26014     9.64     43114.87     76.55     17.96     0.48     0.7     1.8     2.49
CASSIDY     1240     26011     9.64     43124.52     93.86     2.09     0.5     0.36     1.31     1.88
RUTLEDGE     1241     26010     9.64     43134.16     77.32     18.59     0.33     0.63     1.58     1.55
BURRIS     1242     25998     9.64     43143.8     77.16     17.42     0.42     1.72     1.89     1.39
BOWLING     1243     25938     9.62     43153.41     92.74     4.4     0.29     0.49     1.11     0.97
CRABTREE     1244     25929     9.61     43163.02     95.23     0.96     0.34     0.91     1.23     1.32
MCNAMARA     1245     25896     9.6     43172.62     96.65     0.38     0.42     0.23     1.08     1.24
AVALOS     1246     25875     9.59     43182.21     3.8     0.1     0.26     0.22     0.28     95.35
VU     1247     25828     9.57     43191.79     1.47     0.12     96.23     0.05     1.67     0.46
HERRON     1248     25776     9.56     43201.34     73.48     21.85     0.46     0.57     1.73     1.92
BROUSSARD     1249     25735     9.54     43210.88     69.51     26.56     0.24     0.35     1.66     1.68
ABRAHAM     1250     25729     9.54     43220.42     51.67     19.34     19.26     0.72     3.82     5.19
GARLAND     1251     25725     9.54     43229.96     79.64     16.82     0.37     0.47     1.43     1.27
CORBETT     1252     25722     9.54     43239.49     82.59     13.82     0.38     0.55     1.38     1.27
CORBIN     1253     25696     9.53     43249.02     77.04     19.27     0.44     0.44     1.58     1.22
STINSON     1254     25694     9.52     43258.54     73.07     23.21     0.39     0.52     1.53     1.28
CHIN     1255     25673     9.52     43268.06     6.48     6.03     77.95     0.12     7.03     2.4
BURT     1256     25649     9.51     43277.57     80.79     15.34     0.36     0.5     1.37     1.65
HUTCHINS     1257     25633     9.5     43287.07     80.32     15.75     0.5     0.62     1.44     1.37
WOODRUFF     1258     25626     9.5     43296.57     83.95     12.03     0.37     0.64     1.49     1.53
LAU     1259     25624     9.5     43306.07     17.42     0.21     76.56     0.1     2.97     2.73
BRANDON     1260     25600     9.49     43315.56     66.28     28.21     0.5     0.77     2.06     2.17
SINGER     1261     25599     9.49     43325.05     91.65     2.17     0.6     2.64     1.23     1.71
HATCH     1262     25564     9.48     43334.52     88.73     6.69     0.47     1.08     1.42     1.6
ROSSI     1263     25512     9.46     43343.98     93.6     0.58     0.46     0.14     1.16     4.06
SHAFER     1264     25498     9.45     43353.43     95.5     0.78     0.58     0.44     1.17     1.53
OTT     1265     25492     9.45     43362.88     95.28     1.11     0.45     0.66     1.18     1.32
GOSS     1266     25464     9.44     43372.32     82.56     13.68     0.28     0.69     1.41     1.39
GREGG     1267     25457     9.44     43381.76     84.79     10.58     0.4     1.25     1.45     1.53
DEWITT     1268     25448     9.43     43391.19     89.01     6.79     0.47     0.7     1.45     1.57
TANG     1269     25446     9.43     43400.62     2.75     0.62     93.04     0.06     2.54     0.99
POLK     1270     25438     9.43     43410.05     47.79     47.52     0.47     1.1     1.71     1.42
WORLEY     1271     25407     9.42     43419.47     91.18     5.14     0.33     0.72     1.32     1.3
COVINGTON     1272     25403     9.42     43428.89     51.96     43.81     0.29     0.65     1.78     1.53
SALDANA     1273     25386     9.41     43438.3     5.15     0.43     1.33     0.26     0.45     92.39
HELLER     1274     25371     9.4     43447.7     95.27     1.68     0.45     0.21     0.97     1.42
EMERY     1275     25338     9.39     43457.1     90.17     5.38     0.52     0.94     1.42     1.56
SWARTZ     1276     25307     9.38     43466.48     96.31     0.49     0.49     0.35     1.11     1.26
CHO     1277     25305     9.38     43475.86     1.79     (S)     95.57     (S)     1.85     0.65
MCCRAY     1278     25300     9.38     43485.24     28.6     67.25     0.2     0.91     1.87     1.16
ELMORE     1279     25280     9.37     43494.61     77.22     18.93     0.35     0.39     1.5     1.62
ROSENBERG     1280     25271     9.37     43503.98     95.64     0.61     0.5     0.14     1.37     1.74
SIMONS     1281     25266     9.37     43513.34     87.13     8.19     0.47     0.5     1.55     2.16
CLEMONS     1282     25265     9.37     43522.71     53.65     42.33     0.25     0.68     1.99     1.1
BEATTY     1283     25245     9.36     43532.07     82.46     13.66     0.37     0.7     1.45     1.37
HARDEN     1284     25241     9.36     43541.42     61.31     34.52     0.36     0.67     1.82     1.32
HERBERT     1285     25224     9.35     43550.77     74.61     20.02     0.64     0.88     1.4     2.45
BLAND     1286     25219     9.35     43560.12     62.48     33.56     0.33     0.42     1.71     1.49
RUCKER     1287     25160     9.33     43569.45     47.97     48     0.33     0.39     1.96     1.34
MANLEY     1288     25159     9.33     43578.78     80.69     14.91     0.53     0.78     1.59     1.5
ZIEGLER     1289     25138     9.32     43588.09     93.96     2.81     0.54     0.38     0.97     1.34
GRADY     1290     25121     9.31     43597.41     73.72     22.52     0.37     0.52     1.48     1.4
LOTT     1291     25118     9.31     43606.72     67.92     28.06     0.36     0.72     1.59     1.35
ROUSE     1292     25022     9.28     43615.99     71.94     23.75     0.3     0.87     1.45     1.69
GLEASON     1293     25007     9.27     43625.26     93.65     1.71     0.53     1.05     1.42     1.65
MCCLELLAN     1294     24986     9.26     43634.53     82.25     13.2     0.42     1.01     1.64     1.47
ABRAMS     1295     24961     9.25     43643.78     74.14     21.23     0.42     0.65     1.47     2.1
VO     1296     24956     9.25     43653.03     1.84     0.28     95.16     0.05     2.02     0.65
ALBRIGHT     1297     24942     9.25     43662.28     91.6     5.29     0.36     0.35     1.07     1.32
MEIER     1298     24886     9.23     43671.5     96.33     0.19     0.51     0.37     1     1.6
DUNBAR     1299     24871     9.22     43680.72     67.62     28.49     0.43     0.37     1.66     1.44
ACKERMAN     1300     24862     9.22     43689.94     94.88     1.3     0.54     0.61     1.11     1.56
PADGETT     1301     24854     9.21     43699.15     90.23     6.3     0.32     0.56     1.23     1.35
MAYES     1302     24853     9.21     43708.36     63.56     31.71     0.29     0.62     1.81     2.01
TIPTON     1303     24767     9.18     43717.54     89.15     6.98     0.33     0.88     1.33     1.33
COFFMAN     1304     24733     9.17     43726.71     94.2     1.74     0.39     0.72     1.44     1.52
PERALTA     1305     24713     9.16     43735.87     6.38     0.38     8.28     0.51     1.13     83.32
SHAPIRO     1306     24712     9.16     43745.03     96.7     0.38     0.49     0.08     1.1     1.25
ROE     1307     24699     9.16     43754.19     92.19     3.18     1.06     0.64     1.37     1.56
WESTON     1308     24679     9.15     43763.34     73.33     21.82     0.45     1.21     1.67     1.53
PLUMMER     1309     24665     9.14     43772.48     71.62     23     0.36     1.53     1.69     1.78
HELTON     1310     24624     9.13     43781.61     92.73     3.49     0.35     0.69     1.38     1.35
STERN     1311     24618     9.13     43790.74     94.21     2.24     0.56     0.2     1.35     1.43
FRASER     1312     24616     9.13     43799.86     81.93     13     0.82     0.63     1.73     1.88
STOVER     1313     24613     9.12     43808.98     89.01     7.1     0.38     0.74     1.38     1.39
FISH     1314     24612     9.12     43818.11     93.45     1.75     0.5     1.69     1.3     1.31
SCHUMACHER     1315     24573     9.11     43827.22     96.93     0.23     0.37     0.39     0.95     1.12
BACA     1316     24572     9.11     43836.33     16.32     0.27     0.48     1.98     0.75     80.2
CURRAN     1317     24559     9.1     43845.43     96.45     0.26     0.49     0.29     0.95     1.56
VINSON     1318     24557     9.1     43854.53     67.72     28.16     0.39     0.61     1.77     1.34
VERA     1319     24553     9.1     43863.63     8.21     0.6     0.79     0.22     0.48     89.69
CLIFTON     1320     24523     9.09     43872.73     83.41     12.51     0.33     0.62     1.53     1.6
ERVIN     1321     24511     9.09     43881.81     60.44     35.03     0.37     0.63     1.9     1.64
ELDRIDGE     1322     24510     9.09     43890.9     83.61     12.56     0.41     0.93     1.34     1.16
LOWRY     1323     24506     9.08     43899.98     86.64     6.21     0.45     3.48     1.6     1.62
CHILDRESS     1324     24485     9.08     43909.06     79.84     16.19     0.38     0.61     1.54     1.44
BECERRA     1325     24468     9.07     43918.13     5.12     0.14     0.31     0.2     0.36     93.87
GORE     1326     24449     9.06     43927.19     73.63     21.64     1.21     0.66     1.5     1.35
SEYMOUR     1327     24427     9.06     43936.25     84.89     10.04     0.49     1.28     1.64     1.65
CHU     1328     24381     9.04     43945.28     2.47     (S)     93.37     (S)     2.76     1.22
FIELD     1329     24374     9.04     43954.32     91.91     3.66     0.82     0.47     1.3     1.84
AKERS     1330     24353     9.03     43963.35     91.91     4.46     0.41     0.68     1.31     1.23
CARRASCO     1331     24343     9.02     43972.37     6.34     0.34     0.78     0.3     0.38     91.86
BINGHAM     1332     24327     9.02     43981.39     84.32     11.93     0.38     0.56     1.42     1.39
STERLING     1333     24314     9.01     43990.4     67.54     26.4     0.52     0.46     2.02     3.06
GREENWOOD     1334     24301     9.01     43999.41     82.55     12.85     0.44     0.95     1.54     1.67
LESLIE     1335     24266     9     44008.41     75.94     18.01     0.87     1.15     2.16     1.87
GROVES     1336     24260     8.99     44017.4     86.17     9.23     0.49     0.73     1.57     1.81
MANUEL     1337     24227     8.98     44026.38     45.35     28.4     10.44     3.69     2.52     9.6
SWAIN     1338     24220     8.98     44035.36     69.45     25.73     0.64     0.69     1.92     1.56
